fid,보건소명,Latitude,Longitude,일반전화,팩스,우편번호,도로명주소,위치,데이터기준일자,ringId,distance,gid,lbl,val,layer,path
"22",신안군보건소,34.8335723,"126.3525474",061-271-1004,061-240-8000,"58827",전라남도 신안군 압해읍 천사로 1004,압해대교 끝 좌회전,2021/08/01,"1",3000.000000,나라95bb47ba,,,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204|layername=nlsp_031001010
"22",신안군보건소,34.8335723,"126.3525474",061-271-1004,061-240-8000,"58827",전라남도 신안군 압해읍 천사로 1004,압해대교 끝 좌회전,2021/08/01,"1",3000.000000,나라95bb47bb,,,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204|layername=nlsp_031001010
"22",신안군보건소,34.8335723,"126.3525474",061-271-1004,061-240-8000,"58827",전라남도 신안군 압해읍 천사로 1004,압해대교 끝 좌회전,2021/08/01,"1",3000.000000,나라95bb48aa,,,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204|layername=nlsp_031001010
"22",신안군보건소,34.8335723,"126.3525474",061-271-1004,061-240-8000,"58827",전라남도 신안군 압해읍 천사로 1004,압해대교 끝 좌회전,2021/08/01,"1",3000.000000,나라95bb48ab,,,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204|layername=nlsp_031001010
"22",신안군보건소,34.8335723,"126.3525474",061-271-1004,061-240-8000,"58827",전라남도 신안군 압해읍 천사로 1004,압해대교 끝 좌회전,2021/08/01,"1",3000.000000,나라95bb48ba,,,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204|layername=nlsp_031001010
"22",신안군보건소,34.8335723,"126.3525474",061-271-1004,061-240-8000,"58827",전라남도 신안군 압해읍 천사로 1004,압해대교 끝 좌회전,2021/08/01,"1",3000.000000,나라95ab47aa,,,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204|layername=nlsp_031001010
"22",신안군보건소,34.8335723,"126.3525474",061-271-1004,061-240-8000,"58827",전라남도 신안군 압해읍 천사로 1004,압해대교 끝 좌회전,2021/08/01,"1",3000.000000,나라95ab47ab,N/A,0.0000000000000000000000000000000,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204|layername=nlsp_031001010
"22",신안군보건소,34.8335723,"126.3525474",061-271-1004,061-240-8000,"58827",전라남도 신안군 압해읍 천사로 1004,압해대교 끝 좌회전,2021/08/01,"1",3000.000000,나라95ab47ba,N/A,0.0000000000000000000000000000000,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204|layername=nlsp_031001010
"22",신안군보건소,34.8335723,"126.3525474",061-271-1004,061-240-8000,"58827",전라남도 신안군 압해읍 천사로 1004,압해대교 끝 좌회전,2021/08/01,"1",3000.000000,나라95ab47bb,,,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204|layername=nlsp_031001010
"22",신안군보건소,34.8335723,"126.3525474",061-271-1004,061-240-8000,"58827",전라남도 신안군 압해읍 천사로 1004,압해대교 끝 좌회전,2021/08/01,"1",3000.000000,나라95ab48aa,"8.00",8.0000000000000000000000000000000,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204|layername=nlsp_031001010
"22",신안군보건소,34.8335723,"126.3525474",061-271-1004,061-240-8000,"58827",전라남도 신안군 압해읍 천사로 1004,압해대교 끝 좌회전,2021/08/01,"1",3000.000000,나라95ab48ab,"8.00",8.0000000000000000000000000000000,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204|layername=nlsp_031001010
"22",신안군보건소,34.8335723,"126.3525474",061-271-1004,061-240-8000,"58827",전라남도 신안군 압해읍 천사로 1004,압해대교 끝 좌회전,2021/08/01,"1",3000.000000,나라95ab48ba,,,(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204 ? nlsp_031001010,C:/Users/JIHYE/Desktop/DataCampus/data2/고령 데이터_250M/(B100)국토통계_인구정보-고령 인구 수(전체)-(격자) 250M_전라남도 신안군_202204|layername=nlsp_031001010
